,record_num,id,latitude,longitude,vtype,direction_id,occupancy_status,current_status,current_stop_sequence,speed,updated_at
0,1,y3244,42.3629,-71.09941,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,17,,2024-02-29 03:23:11
1,2,y1895,42.3701732,-71.11319794,vehicle,0,,STOPPED_AT,22,,2024-02-29 03:23:19
2,3,y1885,42.37132376,-71.11642239,vehicle,1,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,2,,2024-02-29 03:23:51
3,4,y1877,42.32981931,-71.08359893,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,1,,2024-02-29 03:23:51
4,5,y1780,42.35999745,-71.09458277,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,16,,2024-02-29 03:23:50
5,6,y3244,42.3629,-71.09941,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,17,,2024-02-29 03:23:11
6,7,y1895,42.3701732,-71.11319794,vehicle,0,,STOPPED_AT,22,,2024-02-29 03:23:19
7,8,y1885,42.37132376,-71.11642239,vehicle,1,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,2,,2024-02-29 03:23:51
8,9,y1877,42.32981931,-71.08359893,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,1,,2024-02-29 03:23:51
9,10,y1780,42.35999745,-71.09458277,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,16,,2024-02-29 03:23:50
10,11,y3244,42.36313,-71.09984,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,17,,2024-02-29 03:24:01
11,12,y1895,42.37006739,-71.11309908,vehicle,0,,STOPPED_AT,22,,2024-02-29 03:24:01
12,13,y1885,42.3712679,-71.11625935,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,2,,2024-02-29 03:23:58
13,14,y1877,42.32976,-71.08355,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,1,,2024-02-29 03:23:59
14,15,y1780,42.36006689,-71.09471095,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,16,,2024-02-29 03:23:57
15,16,y3244,42.36324,-71.10003,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,17,,2024-02-29 03:24:03
16,17,y1895,42.37032475,-71.11328252,vehicle,0,,STOPPED_AT,22,,2024-02-29 03:24:09
17,18,y1885,42.37124004,-71.11615311,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,2,,2024-02-29 03:24:10
18,19,y1877,42.32983571,-71.08355211,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,1,,2024-02-29 03:24:08
19,20,y1780,42.36045545,-71.09535743,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,16,,2024-02-29 03:24:11
20,21,y3244,42.36324,-71.10003,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,17,,2024-02-29 03:24:03
21,22,y1895,42.37040196,-71.11354887,vehicle,0,,STOPPED_AT,22,,2024-02-29 03:24:23
22,23,y1885,42.37119955,-71.11611537,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,2,,2024-02-29 03:24:23
23,24,y1877,42.33064978,-71.08319629,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,1,,2024-02-29 03:24:23
24,25,y1780,42.36068852,-71.09558377,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,16,,2024-02-29 03:24:17
25,26,y3244,42.36306428,-71.09980401,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,17,,2024-02-29 03:24:28
26,27,y1895,42.37040196,-71.11354887,vehicle,0,,STOPPED_AT,22,,2024-02-29 03:24:23
27,28,y1885,42.37102635,-71.11580421,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,2,,2024-02-29 03:24:31
28,29,y1877,42.33142867,-71.08241646,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,2,,2024-02-29 03:24:34
29,30,y1780,42.36073419,-71.09571647,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,16,,2024-02-29 03:24:36
30,31,y3244,42.36306428,-71.09980401,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,17,,2024-02-29 03:24:28
31,32,y1895,42.37039181,-71.11347526,vehicle,0,,STOPPED_AT,22,,2024-02-29 03:24:46
32,33,y1885,42.37104409,-71.1158151,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,2,,2024-02-29 03:24:43
33,34,y1877,42.33188141,-71.08189254,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,3,,2024-02-29 03:24:46
34,35,y1780,42.36073419,-71.09571647,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,16,,2024-02-29 03:24:36
35,36,y3244,42.36432,-71.1019,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,17,,2024-02-29 03:24:49
36,37,y1895,42.37065406,-71.11364227,vehicle,0,,STOPPED_AT,22,,2024-02-29 03:24:52
37,38,y1885,42.37104409,-71.1158151,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,2,,2024-02-29 03:24:43
38,39,y1877,42.33190193,-71.08197501,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,3,,2024-02-29 03:24:55
39,40,y1780,42.36105968,-71.09627924,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,16,,2024-02-29 03:24:53
40,41,y3244,42.36432,-71.1019,vehicle,0,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,18,,2024-02-29 03:24:49
41,42,y1895,42.37131034,-71.11437531,vehicle,0,,IN_TRANSIT_TO,23,,2024-02-29 03:25:05
42,43,y1885,42.37092487,-71.11549543,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,2,,2024-02-29 03:25:07
43,44,y1877,42.33198424,-71.08188806,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,3,,2024-02-29 03:25:06
44,45,y1780,42.36162684,-71.09728632,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,16,,2024-02-29 03:25:05
45,46,y3244,42.36432,-71.1019,vehicle,0,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,18,,2024-02-29 03:24:49
46,47,y1895,42.37167669,-71.11488835,vehicle,0,,IN_TRANSIT_TO,23,,2024-02-29 03:25:16
47,48,y1885,42.37053349,-71.11423991,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,2,,2024-02-29 03:25:17
48,49,y1877,42.33241793,-71.08142263,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,3,,2024-02-29 03:25:13
49,50,y1780,42.36169425,-71.09754162,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,17,,2024-02-29 03:25:14
50,51,y3244,42.36432,-71.1019,vehicle,0,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,18,,2024-02-29 03:24:49
51,52,y1895,42.37212103,-71.11539828,vehicle,0,,IN_TRANSIT_TO,23,,2024-02-29 03:25:27
52,53,y1885,42.37017791,-71.11350908,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,3,,2024-02-29 03:25:26
53,54,y1877,42.33280342,-71.08081458,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,3,,2024-02-29 03:25:24
54,55,y1780,42.36186648,-71.09784096,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,17,,2024-02-29 03:25:27
55,56,y3244,42.36432,-71.1019,vehicle,0,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,18,,2024-02-29 03:24:49
56,57,y1895,42.37219921,-71.11545948,vehicle,0,,STOPPED_AT,23,,2024-02-29 03:25:37
57,58,y1885,42.37025634,-71.11349939,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,3,,2024-02-29 03:25:37
58,59,y1877,42.33228678,-71.07993098,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,3,,2024-02-29 03:25:34
59,60,y1780,42.36229497,-71.09853968,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,17,,2024-02-29 03:25:35
60,61,y3244,42.36459211,-71.10265371,vehicle,0,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,18,,2024-02-29 03:25:46
61,62,y1895,42.37216961,-71.11551082,vehicle,0,,STOPPED_AT,23,,2024-02-29 03:25:44
62,63,y1885,42.37018807,-71.11350252,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,3,,2024-02-29 03:25:41
63,64,y1877,42.33169173,-71.07844262,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,4,,2024-02-29 03:25:47
64,65,y1780,42.36275108,-71.09938884,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,17,,2024-02-29 03:25:47
65,66,y3244,42.36512754,-71.10374948,vehicle,0,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,18,,2024-02-29 03:25:58
66,67,y1895,42.37215321,-71.11555435,vehicle,0,,STOPPED_AT,23,,2024-02-29 03:25:51
67,68,y1885,42.37016798,-71.1135397,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,3,,2024-02-29 03:25:53
68,69,y1877,42.33138975,-71.07770297,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,5,,2024-02-29 03:25:57
69,70,y1780,42.36315846,-71.09996972,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,17,,2024-02-29 03:25:57
70,71,y3244,42.36512754,-71.10374948,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,18,,2024-02-29 03:25:58
71,72,y1895,42.37243217,-71.11589235,vehicle,0,,STOPPED_AT,23,,2024-02-29 03:26:06
72,73,y1885,42.37013318,-71.11345694,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,3,,2024-02-29 03:26:09
73,74,y1877,42.33145868,-71.07761234,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,5,,2024-02-29 03:26:03
74,75,y1780,42.3635357,-71.10057341,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,18,,2024-02-29 03:26:06
75,76,y3244,42.36512754,-71.10374948,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,18,,2024-02-29 03:25:58
76,77,y1895,42.37273446,-71.11661102,vehicle,0,,IN_TRANSIT_TO,24,,2024-02-29 03:26:19
77,78,y1885,42.36981879,-71.11254211,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,3,,2024-02-29 03:26:18
78,79,y1877,42.33146075,-71.07756062,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,5,,2024-02-29 03:26:15
79,80,y1780,42.36388948,-71.1008477,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,18,,2024-02-29 03:26:19
80,81,y3244,42.36512754,-71.10374948,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,18,,2024-02-29 03:25:58
81,82,y1895,42.37301795,-71.11743174,vehicle,1,,STOPPED_AT,1,,2024-02-29 03:26:29
82,83,y1885,42.36940743,-71.11142698,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,3,,2024-02-29 03:26:27
83,84,y1877,42.33140315,-71.07671462,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,5,,2024-02-29 03:26:28
84,85,y1780,42.36408813,-71.10132788,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,18,,2024-02-29 03:26:29
85,86,y3244,42.36599,-71.10466,vehicle,0,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,19,,2024-02-29 03:26:31
86,87,y1895,42.37307278,-71.11751392,vehicle,1,,STOPPED_AT,1,,2024-02-29 03:26:32
87,88,y1885,42.36898221,-71.11018821,vehicle,1,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,4,,2024-02-29 03:26:39
88,89,y1877,42.33157203,-71.07641552,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,5,,2024-02-29 03:26:38
89,90,y1866,42.33904,-71.05745,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,1,,2024-02-29 03:26:27
90,91,y1780,42.36448479,-71.10193149,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,18,,2024-02-29 03:26:40
91,92,y3244,42.36599,-71.10466,vehicle,0,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,19,,2024-02-29 03:26:31
92,93,y1895,42.37306727,-71.11759189,vehicle,1,,STOPPED_AT,1,,2024-02-29 03:26:48
93,94,y1885,42.36839151,-71.10874297,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,4,,2024-02-29 03:26:51
94,95,y1877,42.33181012,-71.075948,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,5,,2024-02-29 03:26:50
95,96,y1866,42.33909289,-71.0574771,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,1,,2024-02-29 03:26:45
