,record_num,id,latitude,longitude,vtype,direction_id,occupancy_status,current_status,current_stop_sequence,speed,updated_at,rtid
0,1,y1906,42.33682418,-71.07730712,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,8,,2024-02-29 14:53:32,60168497
1,2,y1855,42.33476714,-71.07485651,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,7,,2024-02-29 14:53:27,60168499
2,3,y1819,42.35937,-71.09378,vehicle,0,FULL,STOPPED_AT,15,,2024-02-29 14:53:20,60168493
3,4,y1772,42.37071771,-71.11498756,vehicle,1,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,3,,2024-02-29 14:53:33,60168987
4,5,y1771,42.33401,-71.07404,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,19,,2024-02-29 14:53:17,60168983
5,6,y1758,42.36782541,-71.10794038,vehicle,1,FEW_SEATS_AVAILABLE,STOPPED_AT,5,,2024-02-29 14:53:28,60168986
6,7,y1906,42.33682418,-71.07730712,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,8,,2024-02-29 14:53:32,60168497
7,8,y1855,42.33476714,-71.07485651,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,7,,2024-02-29 14:53:27,60168499
8,9,y1819,42.35937,-71.09378,vehicle,0,FULL,STOPPED_AT,15,,2024-02-29 14:53:20,60168493
9,10,y1772,42.37071771,-71.11498756,vehicle,1,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,3,,2024-02-29 14:53:33,60168987
10,11,y1771,42.33401,-71.07404,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,19,,2024-02-29 14:53:17,60168983
11,12,y1758,42.36782541,-71.10794038,vehicle,1,FEW_SEATS_AVAILABLE,STOPPED_AT,5,,2024-02-29 14:53:28,60168986
12,13,y1906,42.33682418,-71.07730712,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,8,,2024-02-29 14:53:32,60168497
13,14,y1855,42.33509539,-71.07530352,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,7,,2024-02-29 14:53:43,60168499
14,15,y1819,42.35937,-71.09378,vehicle,0,FULL,STOPPED_AT,15,,2024-02-29 14:53:20,60168493
15,16,y1772,42.37052864,-71.11451772,vehicle,1,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,3,,2024-02-29 14:53:42,60168987
16,17,y1771,42.33401,-71.07404,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,19,,2024-02-29 14:53:17,60168983
17,18,y1758,42.3678862,-71.10784478,vehicle,1,FEW_SEATS_AVAILABLE,STOPPED_AT,5,,2024-02-29 14:53:44,60168986
18,19,y1906,42.33683277,-71.07732069,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,8,,2024-02-29 14:53:54,60168497
19,20,y1855,42.33609795,-71.07642981,vehicle,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,8,,2024-02-29 14:53:53,60168499
20,21,y1819,42.35933138,-71.09385812,vehicle,0,FULL,STOPPED_AT,15,,2024-02-29 14:53:41,60168493
21,22,y1772,42.37024516,-71.11386508,vehicle,1,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,3,,2024-02-29 14:53:52,60168987
22,23,y1771,42.33393572,-71.07397337,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,19,,2024-02-29 14:53:48,60168983
23,24,y1758,42.36772437,-71.10713268,vehicle,1,FEW_SEATS_AVAILABLE,STOPPED_AT,5,,2024-02-29 14:53:53,60168986
24,25,y1906,42.33707719,-71.07759513,vehicle,0,FEW_SEATS_AVAILABLE,STOPPED_AT,8,,2024-02-29 14:54:05,60168497
25,26,y1855,42.33625708,-71.07669078,vehicle,0,MANY_SEATS_AVAILABLE,STOPPED_AT,8,,2024-02-29 14:54:05,60168499
26,27,y1819,42.35933595,-71.09385657,vehicle,0,FULL,STOPPED_AT,15,,2024-02-29 14:54:05,60168493
27,28,y1772,42.37019039,-71.11379167,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,3,,2024-02-29 14:54:03,60168987
28,29,y1771,42.33372,-71.07376,vehicle,1,MANY_SEATS_AVAILABLE,STOPPED_AT,19,,2024-02-29 14:54:03,60168983
